carbon_id,land_id,period_start,period_end,CO2_equivalent,calculated_on
1,1,2024-01-31,2024-02-08,1.95,2024-02-09
2,1,2024-02-06,2024-02-22,3.3,2024-02-23
3,2,2024-02-14,2024-02-28,1.09,2024-02-29
4,2,2024-02-12,2024-02-29,2.1,2024-03-01
5,3,2024-02-06,2024-02-12,4.64,2024-02-13
6,3,2024-02-01,2024-02-15,4.1,2024-02-16
7,4,2024-01-15,2024-01-31,1.88,2024-02-01
8,4,2024-01-13,2024-01-26,3.71,2024-01-27
9,5,2024-02-12,2024-02-21,3.51,2024-02-22
10,5,2024-02-10,2024-02-16,2.24,2024-02-17
11,6,2024-01-29,2024-02-04,3.32,2024-02-05
12,6,2024-01-09,2024-01-16,4.64,2024-01-17
13,7,2024-01-21,2024-02-08,1.7,2024-02-09
14,7,2024-01-09,2024-01-25,3.12,2024-01-26
15,8,2024-01-18,2024-01-28,2.03,2024-01-29
16,8,2024-01-31,2024-02-14,3.99,2024-02-15
17,9,2024-01-22,2024-01-30,2.87,2024-01-31
18,9,2024-01-05,2024-01-14,4.02,2024-01-15
19,10,2024-01-15,2024-02-01,4.87,2024-02-02
20,10,2024-02-05,2024-02-21,1.36,2024-02-22
21,11,2024-01-26,2024-01-31,2.06,2024-02-01
22,11,2024-01-08,2024-01-27,2.47,2024-01-28
23,12,2024-02-13,2024-02-26,3.34,2024-02-27
24,12,2024-02-10,2024-02-26,1.43,2024-02-27
25,13,2024-01-15,2024-02-04,1.1,2024-02-05
26,13,2024-02-05,2024-02-20,4.66,2024-02-21
27,14,2024-01-15,2024-01-22,3.54,2024-01-23
28,14,2024-01-30,2024-02-13,3.6,2024-02-14
29,15,2024-01-08,2024-01-17,1.18,2024-01-18
30,15,2024-01-03,2024-01-17,4.98,2024-01-18
31,16,2024-01-08,2024-01-16,1.94,2024-01-17
32,16,2024-02-04,2024-02-13,2.55,2024-02-14
33,17,2024-01-24,2024-02-11,3.35,2024-02-12
34,17,2024-01-10,2024-01-28,3.62,2024-01-29
35,18,2024-02-01,2024-02-19,4.76,2024-02-20
36,18,2024-01-18,2024-01-24,3.76,2024-01-25
37,19,2024-01-14,2024-02-02,2.78,2024-02-03
38,19,2024-01-16,2024-02-01,1.4,2024-02-02
39,20,2024-02-13,2024-02-29,3.18,2024-03-01
40,20,2024-02-11,2024-02-27,1.24,2024-02-28
41,21,2024-01-18,2024-01-29,4.87,2024-01-30
42,21,2024-01-30,2024-02-06,3.65,2024-02-07
43,22,2024-02-11,2024-02-16,1.2,2024-02-17
44,22,2024-01-22,2024-02-03,4.96,2024-02-04
45,23,2024-02-06,2024-02-17,1.27,2024-02-18
46,23,2024-02-05,2024-02-16,3.35,2024-02-17
47,24,2024-01-15,2024-01-30,4.1,2024-01-31
48,24,2024-02-08,2024-02-13,2.11,2024-02-14
49,25,2024-01-10,2024-01-19,3.16,2024-01-20
50,25,2024-01-12,2024-01-20,3.64,2024-01-21
51,26,2024-01-02,2024-01-11,1.06,2024-01-12
52,26,2024-01-16,2024-01-31,1.06,2024-02-01
53,27,2024-01-17,2024-01-23,1.51,2024-01-24
54,27,2024-01-27,2024-02-04,3.98,2024-02-05
55,28,2024-01-31,2024-02-19,4.11,2024-02-20
56,28,2024-02-02,2024-02-10,2.81,2024-02-11
57,29,2024-01-15,2024-01-21,3.91,2024-01-22
58,29,2024-02-12,2024-02-26,2.83,2024-02-27
59,30,2024-01-02,2024-01-08,4.99,2024-01-09
60,30,2024-01-26,2024-02-13,3.74,2024-02-14
61,31,2024-02-01,2024-02-20,1.29,2024-02-21
62,31,2024-01-06,2024-01-21,3.43,2024-01-22
63,32,2024-01-05,2024-01-14,2.1,2024-01-15
64,32,2024-02-10,2024-02-25,2.52,2024-02-26
65,33,2024-02-08,2024-02-22,2.81,2024-02-23
66,33,2024-02-08,2024-02-26,1.4,2024-02-27
67,34,2024-02-14,2024-02-22,4.41,2024-02-23
68,34,2024-02-11,2024-02-22,2.72,2024-02-23
69,35,2024-01-15,2024-02-02,2.36,2024-02-03
70,35,2024-01-30,2024-02-16,2.66,2024-02-17
71,36,2024-01-07,2024-01-22,2.71,2024-01-23
72,36,2024-02-12,2024-02-25,2.5,2024-02-26
73,37,2024-01-10,2024-01-30,1.27,2024-01-31
74,37,2024-01-06,2024-01-13,2.73,2024-01-14
